,latency,time
279840,491338,34869730363
511692,453187,15798830213
838359,429725,144518006040
896007,426762,15358497663
950421,424138,157230776215
980844,422738,20566410850
1004558,421688,99434813714
1059948,419338,69408602926
1169157,415062,53144511001
1278294,411163,75393822376
1346895,408887,34075236826
1409049,406938,12617519400
1465010,405237,25336088363
1499471,404225,5348257050
1612608,401075,54735582626
1795009,396437,33383907951
1924216,393412,119448899765
2031208,391038,134186876952
2113668,389287,115449235840
2134303,388862,136572958003
2155927,388412,1349073838
2161392,388300,105439879239
2184029,387837,79418832714
2251111,386500,65857566464
2364044,384325,5345000913
2455177,382637,97436495102
2457155,382600,137464627803
2503596,381762,153483666228
2577772,380438,132600665152
2640818,379350,53398843726
2672069,378825,109557441340
2683473,378625,15361384338
2696832,378412,150080193753
2795038,376763,95435647439
2854058,375800,9355585400
2912516,374875,79365274939
2977948,373850,85424131027
3068661,372462,63402871714
3076741,372338,149475699290
3126031,371600,41389524088
3165213,371013,3349598975
3213154,370313,161488913803
3437139,367125,145473043478
3505468,366187,97435215227
3626430,364562,99430320477
3711525,363425,22952449863
3775153,362600,44406878626
3821816,362000,2287853025
3880213,361262,4671559138
3941239,360500,115119183915
4001400,359750,157478769965
4003209,359725,117445367252
4072142,358875,101434828389
4078154,358800,79418436389
4090288,358650,67407206051
4119191,358300,110350639965
4153640,357887,129459569040
4181421,357550,113528801552
4298416,356162,127461670990
4731455,351188,17360232125
4738565,351113,124656183002
4781367,350650,161997627978
4813245,350288,45993194663
4923770,349087,81421151727
5002050,348237,28514646326
5048309,347750,139463874615
5137386,346800,123451699290
5257914,345538,99229898864
5278604,345325,67409898851
5428165,343787,39385771151
5752800,340525,76187989126
5769585,340362,77416696064
5777542,340287,147473981053
5838550,339687,148491451678
6061954,337500,35380177676
6132890,336813,18976941125
6138281,336763,57402002101
6139546,336750,21366561213
6140624,336750,162791718091
6305359,335175,66653347126
6312418,335112,107445753390
6374424,334525,31380025338
6403437,334250,23366857438
6456089,333762,51396253676
6493127,333413,51396883088
6539802,332987,139469692453
6602518,332400,70624339964
6656376,331900,26925330588
6718565,331337,21364100063
6740544,331137,23367313938
6798887,330612,142928943503
6804976,330550,63405558489
6885272,329825,75412481626
6922774,329487,21364999038
7160151,327362,75413452364
7162118,327338,49392061763
7204243,326975,155481527990
7227463,326763,117451719277
7330029,325850,17361988563
7331788,325838,103439117039
7438908,324900,133395412515
7541636,324000,87421920664
7559220,323850,134984693803
7602667,323463,41382552038
7722611,322437,128625198590
7850800,321337,89424166077
7922114,320725,138955729565
7968183,320325,59502228526
7981959,320212,71408916764
8122504,319013,68243176201
8239383,318037,161484712066
8304510,317487,163485132941
8366199,316962,93429531252
8438179,316350,29373128238
8532098,315575,157478820115
8538180,315525,155483072328
8622199,314813,77413129451
8636794,314700,127037805015
8881800,312675,104787442152
8886746,312637,111941772990
8998496,311712,88104455552
9188409,310150,123455623640
9197860,310075,143470617878
9313155,309125,75415606789
